unix,open,high,low,close,volume_btc,volume_usd
1682082000000,28187.51,28296.08,28060.0,28077.67,47.54195186,1334867.235
1682078400000,28048.99,28214.1,27963.01,28187.51,59.54952641,1678552.871
1682074800000,27988.8,28072.47,27915.91,28048.99,24.16132192,677700.6769
1682071200000,28062.21,28144.96,27955.2,27988.8,13.40669831,375237.3977
1682067600000,28200.0,28381.69,27891.03,28062.21,2.54228028,71342.0031
1682064000000,28200.0,28200.0,28200.0,28200.0,0.0,0.0
1682060400000,28200.0,28200.0,28200.0,28200.0,0.0,0.0
1682056800000,28200.0,28200.0,28200.0,28200.0,0.0,0.0
1682053200000,28200.0,28200.0,28200.0,28200.0,0.0,0.0
1682049600000,28200.0,28200.0,28200.0,28200.0,0.0,0.0
1682046000000,28200.0,28200.0,28200.0,28200.0,0.0,0.0
1682042400000,28200.0,28200.0,28200.0,28200.0,0.0,0.0
1682038800000,28200.0,28200.0,28200.0,28200.0,0.0,0.0
1682035200000,28200.0,28200.0,28200.0,28200.0,0.0,0.0
1682031600000,28200.0,28200.0,28200.0,28200.0,0.0003546,9.99972
1682028000000,28187.72,28200.0,28187.72,28200.0,0.09604727,2708.533014
1682024400000,28113.66,28187.72,28095.38,28187.72,1.89318635,53364.60674
1682020800000,28113.66,28113.66,28113.66,28113.66,0.0,0.0
1682017200000,28337.54,28362.25,27932.0,28113.66,78.56752467,2208820.676
1682013600000,28451.78,28525.45,28260.0,28337.54,49.86564077,1413069.59
1682010000000,28436.75,28588.89,28350.0,28451.78,16.58793923,471956.3976
1682006400000,28496.46,28645.33,28268.0,28436.75,27.81891556,791079.5471
1682002800000,28710.8,28732.72,28442.09,28496.46,17.61754612,502037.6983
1681999200000,28811.9,28855.86,28686.52,28710.8,24.25842286,696478.727
1681995600000,28872.18,28877.89,28714.89,28811.9,35.8755403,1033642.48
1681992000000,28586.49,28924.65,28301.53,28872.18,34.37116047,992370.3319
1681988400000,28843.32,28843.32,28571.75,28586.49,27.70432519,791969.415
1681984800000,28840.32,28889.28,28760.59,28843.32,5.43929849,156887.4269
1681981200000,28791.2,28891.85,28791.2,28840.32,10.81186796,311817.7318
1681977600000,28859.44,28954.52,28761.8,28791.2,40.38039766,1162600.105
1681974000000,28934.08,28957.96,28859.44,28859.44,1.86071461,53699.18164
1681970400000,28893.82,29091.26,28893.82,28934.08,5.67854951,164303.6058
1681966800000,28880.29,28949.14,28825.06,28893.82,2.55266183,73756.15144
1681963200000,28850.38,28956.87,28829.14,28880.29,8.2646918,238686.6959
1681959600000,28739.48,28892.07,28566.95,28850.38,18.07786847,521553.3749
1681956000000,28945.15,28967.56,28737.23,28739.48,11.98859555,344546.002
1681952400000,28937.79,29005.8,28849.07,28945.15,10.80290425,312691.684
1681948800000,28814.64,28968.61,28737.0,28937.79,16.13650959,466954.9258
1681945200000,29085.56,29100.35,28573.0,28814.64,49.07514427,1414082.615
1681941600000,29173.2,29236.58,29055.04,29085.56,8.43773538,245416.2587
1681938000000,29250.98,29256.9,28830.01,29173.2,33.27522909,970744.9133
1681934400000,29233.01,29323.86,29176.0,29250.98,25.10040571,734211.4654
1681930800000,29287.64,29365.6,29219.84,29233.01,33.86253948,989903.9552
1681927200000,29323.99,29375.01,29240.21,29287.64,26.21873792,767884.9575
1681923600000,29331.22,29350.03,29141.67,29323.99,72.94541483,2139050.615
1681920000000,29273.54,29378.99,29255.6,29331.22,17.04061164,499821.9289
1681916400000,29406.14,29441.4,29151.91,29273.54,22.5338627,659645.9311
1681912800000,29345.74,29650.91,29345.05,29406.14,45.73684907,1344944.187
1681909200000,29234.38,29354.7,29200.0,29345.74,6.16789861,181001.549
1681905600000,29324.2,29324.2,29200.0,29234.38,11.45416881,334855.5236
1681902000000,29266.89,29344.18,29244.83,29324.2,3.1473313,92292.97251
1681898400000,29214.44,29288.39,29115.22,29266.89,21.14441673,618831.3186
1681894800000,29179.06,29358.05,29069.43,29214.44,12.62042027,368698.5108
1681891200000,30082.44,30082.44,29000.0,29179.06,40.50424113,1181875.682
1681887600000,30022.55,30114.21,29999.99,30082.44,2.51275328,75589.74978
1681884000000,30273.86,30280.14,30022.55,30022.55,11.40219201,342322.8797
1681880400000,30207.33,30340.6,30187.33,30273.86,2.9190518,88370.96553
1681876800000,30216.69,30244.1,30154.44,30207.33,5.26943554,159175.5783
1681873200000,30210.01,30283.11,30195.1,30216.69,12.70266966,383832.6313
1681869600000,30256.48,30262.3,30084.23,30210.01,10.72577897,324025.8899
1681866000000,30317.0,30352.7,30237.86,30256.48,28.45151879,860842.8092
1681862400000,30374.65,30420.0,30257.51,30317.0,20.31889457,616007.9267
1681858800000,30360.53,30405.73,30306.06,30374.65,7.93060713,240889.4159
1681855200000,30384.01,30414.0,30300.01,30360.53,5.634431,171064.3114
1681851600000,30400.01,30427.09,30281.09,30384.01,10.88756047,330807.7462
1681848000000,30232.87,30451.68,30155.57,30400.01,43.46336849,1321286.837
1681844400000,30146.42,30239.26,30095.29,30232.87,30.20961983,913323.5091
1681840800000,30043.11,30278.52,29968.16,30146.42,23.5258118,709219.0034
1681837200000,30212.08,30260.0,30043.11,30043.11,72.98210642,2192609.451
1681833600000,30197.89,30268.18,30160.74,30212.08,19.73923001,596363.1962
1681830000000,30250.46,30286.67,30111.81,30197.89,26.53122702,801187.0751
1681826400000,30359.62,30369.19,30121.16,30250.46,17.81788468,538999.2078
1681822800000,30265.82,30426.5,30259.92,30359.62,15.51264047,470957.8699
1681819200000,30314.57,30426.0,30245.29,30265.82,31.80450705,962589.4856
1681815600000,29867.0,30327.2,29856.61,30314.57,32.10105143,973129.5706
1681812000000,29863.88,29932.21,29846.39,29867.0,20.28998397,606000.9512
1681808400000,29686.8,29894.23,29672.76,29863.88,12.67384844,378490.289
1681804800000,29766.51,29804.62,29681.87,29686.8,4.11151647,122057.7671
1681801200000,29702.54,29781.3,29666.01,29766.51,2.83290958,84325.83134
1681797600000,29541.9,29730.02,29541.9,29702.54,5.61456614,166766.8754
1681794000000,29481.25,29581.54,29481.25,29541.9,3.65384159,107941.4229
1681790400000,29412.82,29487.32,29400.88,29481.25,3.65923564,107878.8407
1681786800000,29449.77,29473.0,29307.62,29412.82,21.58806981,634966.0115
1681783200000,29376.73,29481.21,29376.73,29449.77,16.48434452,485460.1547
1681779600000,29367.64,29416.57,29111.0,29376.73,35.8250576,1052423.044
1681776000000,29441.89,29472.73,29308.38,29367.64,15.44116501,453470.5752
1681772400000,29511.75,29526.63,29415.0,29441.89,3.40167985,100151.884
1681768800000,29466.7,29556.04,29464.62,29511.75,5.23555424,154510.3678
1681765200000,29446.09,29486.0,29407.13,29466.7,11.64126623,343029.6996
1681761600000,29472.92,29520.65,29428.77,29446.09,25.16312398,740955.6134
1681758000000,29533.7,29591.0,29465.06,29472.92,20.992096,618698.366
1681754400000,29468.29,29575.33,29460.16,29533.7,21.78782883,643475.2003
1681750800000,29471.81,29563.3,29293.19,29468.29,21.55794337,635275.727
1681747200000,29358.84,29499.3,29336.71,29471.81,24.68332812,727462.3565
1681743600000,29454.03,29476.97,29250.0,29358.84,26.61480418,781379.7776
1681740000000,29410.92,29495.07,29316.4,29454.03,20.90852087,615840.201
1681736400000,29539.05,29551.76,29251.0,29410.92,19.09682476,561655.1853
1681732800000,29596.76,29607.25,29432.78,29539.05,20.46937209,604645.8056
